# protools/abhack/attrTabCompletion.txt is a list of ABL attribute and methods to use on TAB in Seb's AppBuilder Hack
# lines that begins with '#' are ignored
# This file is reloaded each time you recheck its corresponding toggle-box





GET-TEXT-WIDTH-PIXELS()     FONT-TABLE
GET-TYPE-BY-INDEX()         
HANDLE                      FILL-IN,BUFFER,BUFFER-FIELD,TEMP-TABLE,PROCEDURE,FRAME,BROWSE,BROWSE-COLUMN,EDITOR,WINDOW,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX,DIALOG-BOX,MENU,MENU-ITEM,SUB-MENU,QUERY,CALL,X-DOCUMENT,X-NODEREF,SAX-READER,FILE-INFO,SESSION,ERROR-STATUS,COMPILER,LAST-EVENT,COLOR-TABLE,FONT-TABLE,DEBUGGER,RCODE-INFO,CLIPBOARD
HAS-RECORDS                 TEMP-TABLE
HEIGHT-CHARS                FILL-IN,FRAME,BROWSE,BROWSE-COLUMN,EDITOR,WINDOW,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX,DIALOG-BOX,SESSION
HEIGHT-PIXELS               FILL-IN,FRAME,BROWSE,BROWSE-COLUMN,EDITOR,WINDOW,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX,DIALOG-BOX,SESSION
HELP                        FILL-IN,BUFFER-FIELD,BROWSE,BROWSE-COLUMN,EDITOR,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX
HIDDEN                      FILL-IN,BROWSE,EDITOR,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX
HTML-CHARSET                
HWND                        FILL-IN,FRAME,BROWSE,BROWSE-COLUMN,EDITOR,WINDOW,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX,DIALOG-BOX,MENU,MENU-ITEM,SUB-MENU
ICFPARAMETER                SESSION
IMAGE                       BUTTON,IMAGE
IMMEDIATE-DISPLAY           SESSION
INDEX-INFORMATION           BUFFER,QUERY
INDEX-INFORMATION()         BUFFER,QUERY
INITIAL                     BUFFER-FIELD
INITIATE()                  DEBUGGER
INNER-CHARS                 EDITOR,SELECTION-LIST
INNER-LINES                 EDITOR,SELECTION-LIST,COMBO-BOX
INPUT-VALUE                 FILL-IN,BROWSE-COLUMN,EDITOR,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,LITERAL,TEXT,TOGGLE-BOX
INSERT()                    SELECTION-LIST,COMBO-BOX
INSERT-FILE()               EDITOR
INSERT-ROW()                BROWSE
INSERT-STRING()             EDITOR
INSERT-TABS                 
INTERNAL-ENTRIES            PROCEDURE
IS-OPEN                     QUERY
IS-ROW-SELECTED()           BROWSE
IS-SELECTED()               SELECTION-LIST
KEEP-FRAME-Z-ORDER          WINDOW
KEY                         BUFFER-FIELD
LABEL                       FILL-IN,BUFFER-FIELD,BROWSE-COLUMN,EDITOR,BUTTON,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,TEXT,TOGGLE-BOX,MENU-ITEM,SUB-MENU,LAST-EVENT
LABEL-BGCOLOR               BROWSE,BROWSE-COLUMN
LABEL-DCOLOR                BROWSE,BROWSE-COLUMN
LABEL-FGCOLOR               BROWSE,BROWSE-COLUMN
LABEL-FONT                  BROWSE,BROWSE-COLUMN
LABELS                      FILL-IN,FRAME,BROWSE,EDITOR,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,TEXT,TOGGLE-BOX
LAST-CHILD                  FRAME,WINDOW,DIALOG-BOX,MENU,SUB-MENU,SESSION
LAST-PROCEDURE              SESSION
LAST-SERVER                 SESSION
LAST-SERVER-SOCKET          SESSION
LAST-SOCKET                 SESSION
LENGTH                      EDITOR
LIST-ITEM-PAIRS             SELECTION-LIST
LIST-ITEMS                  SELECTION-LIST,COMBO-BOX
LITERAL-QUESTION            BUFFER-FIELD
LOAD-IMAGE()                BUTTON,IMAGE
LOAD-MOUSE-POINTER()        FILL-IN,FRAME,BROWSE,BROWSE-COLUMN,EDITOR,WINDOW,BUTTON,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,TOGGLE-BOX,DIALOG-BOX,MENU,MENU-ITEM,SUB-MENU
LOCKED                      BUFFER
LOOKUP()                    SELECTION-LIST,COMBO-BOX
MANDATORY                   BUFFER-FIELD
MANUAL-HIGHLIGHT            FILL-IN,FRAME,BROWSE,EDITOR,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX
MAX-DATA-GUESS              BROWSE


MAX-HEIGHT-CHARS            WINDOW
MAX-HEIGHT-PIXELS           WINDOW
MAX-WIDTH-CHARS             WINDOW
MAX-WIDTH-PIXELS            WINDOW
MENU-BAR                    WINDOW
MENU-KEY                    FILL-IN,FRAME,BROWSE,EDITOR,WINDOW,BUTTON,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TOGGLE-BOX,DIALOG-BOX
MENU-MOUSE                  FILL-IN,FRAME,BROWSE,EDITOR,WINDOW,BUTTON,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TOGGLE-BOX,DIALOG-BOX
MIN-COLUMN-WIDTH-CHARS      BROWSE
MIN-COLUMN-WIDTH-PIXELS     BROWSE
MODIFIED                    FILL-IN,BROWSE,BROWSE-COLUMN,EDITOR,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,TEXT,TOGGLE-BOX
