HELP                        FILL-IN,BUFFER-FIELD,BROWSE,BROWSE-COLUMN,EDITOR,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX
HIDDEN                      FILL-IN,FRAME,BROWSE,EDITOR,WINDOW,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX,DIALOG-BOX
mm:ss
mm
HTML-CHARSET                
HWND                        FILL-IN,FRAME,BROWSE,BROWSE-COLUMN,EDITOR,WINDOW,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX,DIALOG-BOX,MENU,MENU-ITEM,SUB-MENU
ICFPARAMETER                SESSION
IMAGE                       BUTTON,IMAGE
IMMEDIATE-DISPLAY           SESSION
INDEX-INFORMATION           BUFFER,QUERY
INDEX-INFORMATION()         BUFFER,QUERY
INHERIT-BGCOLOR             FRAME,DIALOG-BOX,SESSION
INHERIT-COLOR-MODE          SESSION
INHERIT-FGCOLOR             FRAME,DIALOG-BOX,SESSION
INITIAL                     BUFFER-FIELD
INITIATE()                  DEBUGGER
INNER-CHARS                 EDITOR,SELECTION-LIST
INNER-LINES                 EDITOR,SELECTION-LIST,COMBO-BOX
INPUT-VALUE                 FILL-IN,BROWSE-COLUMN,EDITOR,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,LITERAL,TEXT,TOGGLE-BOX
INSERT()                    SELECTION-LIST,COMBO-BOX
INSERT-ATTRIBUTE()          SAX-WRITER,SAX-ATTRIBUTES
INSERT-FILE()               EDITOR
INSERT-ROW()                BROWSE
INSERT-STRING()             EDITOR
INSERT-TABS                 
INSTANTIATING-PROCEDURE     FILL-IN,BUFFER,BUFFER-FIELD,TEMP-TABLE,PROCEDURE,FRAME,BROWSE,BROWSE-COLUMN,EDITOR,WINDOW,BUTTON,RECTANGLE,IMAGE,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,CONTROL-FRAME,LITERAL,TEXT,TOGGLE-BOX,DIALOG-BOX,MENU,MENU-ITEM,SUB-MENU,QUERY,CALL,X-DOCUMENT,X-NODEREF,SAX-READER,SAX-WRITER,SAX-ATTRIBUTES,DATA-SOURCE,DATASET,DATA-RELATION,FILE-INFO,SESSION,ERROR-STATUS,COMPILER,LAST-EVENT,COLOR-TABLE,FONT-TABLE,DEBUGGER,RCODE-INFO,CLIPBOARD
INTERNAL-ENTRIES            PROCEDURE
IS-OPEN                     QUERY
IS-ROW-SELECTED()           BROWSE
IS-SELECTED()               SELECTION-LIST
KEEP-FRAME-Z-ORDER          WINDOW
KEY                         BUFFER-FIELD
KEYS                        BUFFER,DATA-SOURCE
LABEL                       FILL-IN,BUFFER-FIELD,BROWSE-COLUMN,EDITOR,BUTTON,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,TEXT,TOGGLE-BOX,MENU-ITEM,SUB-MENU,LAST-EVENT
LABEL-BGCOLOR               BROWSE,BROWSE-COLUMN
LABEL-DCOLOR                BROWSE,BROWSE-COLUMN
LABEL-FGCOLOR               BROWSE,BROWSE-COLUMN
LABEL-FONT                  BROWSE,BROWSE-COLUMN
LABELS                      FILL-IN,FRAME,BROWSE,EDITOR,RADIO-SET,SELECTION-LIST,SLIDER,COMBO-BOX,TEXT,TOGGLE-BOX
LAST-ASYNC-REQUEST          SESSION,SERVER
